word,level,pos,url,audioUk,audioUs
accomplish,b2,verb,/definition/english/accomplish,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accomplish__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accomplish__us_1.mp3
accomplishment,c1,noun,/definition/english/accomplishment,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accomplishment__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accomplishment__us_1.mp3
accordance,c1,noun,/definition/english/accordance,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accor/accordance__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accor/accordance__us_1.mp3
according to,a2,preposition,/definition/english/according-to,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accor/according_to_1_gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accor/according_to_1_us_3.mp3
accordingly,c1,adverb,/definition/english/accordingly,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accor/accordingly__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accor/accordingly__us_1.mp3
account,b1,noun,/definition/english/account_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/account__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/account__us_1.mp3
account,b2,verb,/definition/english/account_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/account__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/account__us_1.mp3
accountability,c1,noun,/definition/english/accountability,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accountability__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/accountability__us_1.mp3
accountable,c1,adjective,/definition/english/accountable,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accountable__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/accountable__us_1.mp3
accountant,b2,noun,/definition/english/accountant,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accountant__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/accountant__us_1.mp3
accumulate,c1,verb,/definition/english/accumulate,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accum/accumulate__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accum/accumulate__us_1.mp3
accumulation,c1,noun,/definition/english/accumulation,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accum/accumulation__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accum/accumulation__us_1.mp3
accuracy,b2,noun,/definition/english/accuracy,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accur/accuracy__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accur/accuracy__us_1.mp3
accurate,b2,adjective,/definition/english/accurate,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accur/accurate__gb_3.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accur/accurate__us_1.mp3
accurately,b2,adverb,/definition/english/accurately,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accur/accurately__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accur/accurately__us_1.mp3
accusation,c1,noun,/definition/english/accusation,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accus/accusation__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accus/accusation__us_1.mp3
accuse,b2,verb,/definition/english/accuse,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accus/accuse__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accus/accuse__us_2.mp3
accused,c1,noun,/definition/english/the-accused,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accus/accused__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accus/accused__us_1.mp3
achieve,a2,verb,/definition/english/achieve,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ach/achie/achieve__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/ach/achie/achieve__us_2.mp3
achievement,b1,noun,/definition/english/achievement,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ach/achie/achievement__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/ach/achie/achievement__us_1.mp3
acid,c1,adjective,/definition/english/acid_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aci/acid_/acid__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aci/acid_/acid__us_1.mp3
acid,b2,noun,/definition/english/acid_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aci/acid_/acid__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aci/acid_/acid__us_1.mp3
acknowledge,b2,verb,/definition/english/acknowledge,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ack/ackno/acknowledge__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/ack/ackno/acknowledge__us_1.mp3
acquire,b2,verb,/definition/english/acquire,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acq/acqui/acquire__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acq/acqui/acquire__us_2.mp3
acquisition,c1,noun,/definition/english/acquisition,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acq/acqui/acquisition__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acq/acqui/acquisition__us_1.mp3
acre,c1,noun,/definition/english/acre,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acr/acre_/acre__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acr/acre_/acre__us_1.mp3
across,a1,adverb,/definition/english/across_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acr/acros/across__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acr/acros/across__us_1.mp3
