a	indefinite article
somebody	pronoun
someone	pronoun
something	pronoun
sometimes	adverb
son	noun
song	noun
soon	adverb
sorry	adjective
sorry	exclamation
sound	noun
sound	verb
soup	noun
south	adjective
south	adverb
south	noun
space	noun
speak	verb
special	adjective
spell	verb
spelling	noun
spend	verb
sport	noun
spring	noun
stand	verb
star	noun
start	verb
statement	noun
station	noun
stay	verb
still	adverb
stop	noun
stop	verb
story	noun
street	noun
strong	adjective
student	noun
study	noun
study	verb
style	noun
subject	noun
success	noun
sugar	noun
summer	noun
sun	noun
sunday	noun
supermarket	noun
sure	adjective
sweater	noun
swim	verb
swimming	noun
t-shirt	noun
table	noun
take	verb
talk	verb
tall	adjective
taxi	noun
tea	noun
teach	verb
teacher	noun
team	noun
teenager	noun
telephone	noun
telephone	verb
television	noun
tell	verb
ten	number
tennis	noun
terrible	adjective
test	noun
test	verb
text	noun
than	conjunction
than	preposition
thank	verb
thanks	exclamation
thanks	noun
that	conjunction
that	determiner
that	pronoun
the	definite article
theatre	noun
their	determiner
them	pronoun
then	adverb
there	adverb
they	pronoun
thing	noun
think	verb
third	ordinal number
thirsty	adjective
thirteen	number
thirty	number
this	determiner
this	pronoun
thousand	number
three	number
through	adverb
through	preposition
thursday	noun
ticket	noun
time	noun
tired	adjective
title	noun
to	infinitive marker
to	preposition
today	adverb
today	noun
together	adverb
toilet	noun
tomato	noun
tomorrow	adverb
tomorrow	noun
tonight	adverb
tonight	noun
too	adverb
tooth	noun
topic	noun
tourist	noun
town	noun
traffic	noun
train	noun
travel	noun
travel	verb
tree	noun
trip	noun
trousers	noun
true	adjective
try	verb
tuesday	noun
turn	noun
turn	verb
tv	noun
twelve	number
twenty	number
twice	adverb
two	number
type	noun
umbrella	noun
uncle	noun
under	adverb
under	preposition
understand	verb
university	noun
until	conjunction
until	preposition
up	adverb
up	preposition
upstairs	adverb
us	pronoun
use	verb
useful	adjective
usually	adverb
vacation	noun
vegetable	noun
very	adverb
video	noun
village	noun
visit	noun
visit	verb
visitor	noun
wait	verb
waiter	noun
wake	verb
walk	noun
walk	verb
wall	noun
want	verb
warm	adjective
wash	verb
watch	noun
watch	verb
water	noun
way	noun
we	pronoun
wear	verb
weather	noun
website	noun
wednesday	noun
week	noun
weekend	noun
welcome	adjective
welcome	exclamation
welcome	verb
well	adjective
well	adverb
well	exclamation
west	adjective
west	adverb
west	noun
what	determiner
what	pronoun
when	adverb
when	conjunction
when	pronoun
where	adverb
where	conjunction
which	determiner
which	pronoun
white	adjective
white	noun
who	pronoun
why	adverb
wife	noun
will	modal verb
win	verb
window	noun
wine	noun
winter	noun
with	preposition
without	preposition
woman	noun
wonderful	adjective
word	noun
work	noun
work	verb
worker	noun
world	noun
would	modal verb
write	verb
writer	noun
writing	noun
wrong	adjective
yeah	exclamation
year	noun
yellow	adjective
yellow	noun
yes	exclamation
yesterday	adverb
yesterday	noun
you	pronoun
young	adjective
your	determiner
yourself	pronoun
